geoid,bus stops,hos,
6025010101,1,0,
6025010102,5,0,
6025010200,2,0,
6025010300,0,0,
6025010400,8,0,
6025010500,5,0,
6025010600,14,1,"Avg income: 73,750"
6025010700,10,0,
6025010800,0,0,
6025010900,3,0,
6025011000,7,0,
6025011100,1,0,
6025011201,15,0,
6025011202,7,0,
6025011300,8,0,
6025011400,5,0,
6025011500,4,0,
6025011600,13,0,
6025011700,6,1,"Avg income: 48,292"
6025011801,2,0,
6025011802,1,0,
6025011803,5,0,
6025011900,2,0,
6025012001,5,0,
6025012002,2,0,
6025012100,5,0,
6025012200,3,0,
6025012301,0,0,
6025012302,0,0,
6025012400,4,0,
6025940000,0,0,