geoid,supply
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,1
6.03E+10,1
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0
6.03E+10,0