geoid,pop
6025010101,4601
6025010102,5007
6025010200,2640
6025010300,933
6025010400,7162
6025010500,6593
6025010600,6998
6025010700,4322
6025010800,1368
6025010900,6755
6025011000,12047
6025011100,3685
6025011201,6043
6025011202,5444
6025011300,10460
6025011400,4580
6025011500,6232
6025011600,6310
6025011700,4797
6025011801,3821
6025011802,4870
6025011803,5937
6025011900,10966
6025012001,3831
6025012002,9678
6025012100,6937
6025012200,7804
6025012301,5633
6025012302,4756
6025012400,1266
6025940000,3052